##4000550		
Whenever	whenever	rrqv
course	course	nn1
he	he	pphs1
had	have	vhd
taken	take	vvn
while	while	cs
at	at	ii
the	the	at
business	business	nn1
school	school	nn1
.	.	y
Meeting	meet	vvg_nn1
with	with	iw
the	the	at
Department	department	nn1
Chair	chair	nn1
<p>	<p>	y
At	at	ii
the	the	at
end	end	nn1
of	of	io
the	the	at
semester	semester	nn1
,	,	y
but	but	ccb
before	before	cs
I	i	ppis1
submitted	submit	vvd
the	the	at
final	final	jj_nn1
grades	grade	nn2
,	,	y
the	the	at
departmental	departmental	jj
chair	chair	nn1
summoned	summon	vvd
me	me	ppio1
to	to	ii
her	her	appge
office	office	nn1
to	to	to
offer	offer	vvi
me	me	ppio1
future	future	jj
summer	summer	nnt1
teaching	teach	vvg_nn1
at	at	ii
the	the	at
business	business	nn1
school	school	nn1
(	(	y
which	which	ddq
I	i	ppis1
went	go	vvd
on	on	rp_ii21
to	to	ii_ii22_to
do	do	vd0
)	)	y
.	.	y
After	after	cs_ii
inquiries	inquiry	nn2
about	about	ii
possible	possible	jj
teaching	teaching	nn1
arrangements	arrangement	nn2
and	and	cc
my	my	appge
teaching	teaching	nn1
interests	interest	nn2
,	,	y
she	she	pphs1
told	tell	vvd
me	me	ppio1
that	that	cst
the	the	at
Conflict	conflict	nn1
and	and	cc
Negotiation	negotiation	nn1
course	course	nn1
was	be	vbdz
to	to	to
be	be	vbi
redesigned	redesign	vvn@
into	into	ii
a	a	at1
half-semester	half-semester	jj_nn1
module	module	nn1
and	and	cc
that	that	cst
it	it	pph1
was	be	vbdz
to	to	to
become	become	vvi
a	a	at1
required	required	jj
course	course	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cs22
the	the	at
sections	section	nn2
would	would	vm
now	now	rt
consist	consist	vvi
of	of	io
identical	identical	jj
content	content	nn1
.	.	y
In	in	ii
other	other	jj
words	word	nn2
,	,	y
Conflict	conflict	nn1
and	and	cc
Negotiation	negotiation	nn1
was	be	vbdz
to	to	to
be	be	vbi
McDonaldized	mcdonaldized	np1
.	.	y
<p>	<p>	y
After	after	ii
discussing	discuss	vvg
reappointment	reappointment	nn1
,	,	y
the	the	at
chair	chair	nn1
surprised	surprise	vvd@
me	me	ppio1
by	by	ii
changing	change	vvg
the	the	at
subject	subject	nn1
entirely	entirely	rr
.	.	y
She	she	pphs1
raised	raise	vvd
the	the	at
Saul	saul	np1
Alinsky	alinsky	np1
complaint	complaint	nn1
.	.	y
She	she	pphs1
told	tell	vvd
me	me	ppio1
that	that	cst
a	a	at1
(	(	y
white	white	jj_nn1@
)	)	y
student	student	nn1
,	,	y
not	not	xx
the	the	at
student	student	nn1
who	who	pnqs
had	have	vhd
first	first	md
raised	raise	vvn
the	the	at
issue	issue	nn1
in	in	ii
class	class	nn1
,	,	y
had	have	vhd
come	come	vvn
to	to	ii
her	her	appge
office	office	nn1
to	to	to
complain	complain	vvi
that	that	cst
I	i	ppis1
had	have	vhd
been	be	vbn
teaching	teach	vvg
from	from	ii
a	a	at1
racist	racist	jj_nn1
book	book	nn1
.	.	y
The	the	at
chair	chair	nn1
told	tell	vvd
me	me	ppio1
that	that	cst
she	she	pphs1
had	have	vhd
asked	ask	vvn
the	the	at
student	student	nn1
to	to	to
show	show	vvi
her	her	ppho1
the	the	at
racist	racist	jj_nn1
book	book	nn1
,	,	y
and	and	cc
was	be	vbdz
surprised	surprised	jj_vvn%
when	when	cs_rrq
she	she	pphs1
saw	see	vvd
that	that	cst
it	it	pph1
was	be	vbdz
Alinsky	alinsky	np1
's	's	ge
Rules	rule	nn2
for	for	if
Radicals	radical	nn2
.	.	y
She	she	pphs1
told	tell	vvd
me	me	ppio1
that	that	cst
she	she	pphs1
had	have	vhd
read	read	vvn
the	the	at
book	book	nn1
as	as	ii_csa
an	a	at1
undergraduate	undergraduate	nn1
in	in	ii
a	a	at1
political	political	jj
science	science	nn1
course	course	nn1
at	at	ii
an	a	at1
Ivy	ivy	nn1@_np1
League	league	nn1
university	university	nn1
and	and	cc
that	that	cst
Alinsky	alinsky	np1
was	be	vbdz
"	"	y
Mr.	mr	nnb
Civil	civil	jj
Rights	right	nn2
.	.	y
"	"	y
She	she	pphs1
said	say	vvd
that	that	cst
she	she	pphs1
had	have	vhd
been	be	vbn
astonished	astonish	vvn@_jj
that	that	cst
the	the	at
student	student	nn1
thought	think	vvd_vvn_nn1
that	that	cst
Alinsky	alinsky	np1
was	be	vbdz
a	a	at1
racist	racist	nn1_jj
.	.	y
She	she	pphs1
told	tell	vvd
me	me	ppio1
that	that	cst
the	the	at
student	student	nn1
had	have	vhd
then	then	rt
told	tell	vvn
her	her	ppho1
that	that	cst
the	the	at
"	"	y
n-word	n-word	nn1
"	"	y
had	have	vhd
appeared	appear	vvn
in	in	ii
the	the	at
text	text	nn1
.	.	y
She	she	pphs1
proceeded	proceed	vvd
to	to	to
ask	ask	vvi
me	me	ppio1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
"	"	y
<p>	<p>	y
Following	follow	vvg_nn1@
,	,	y
as	as	csa
it	it	pph1
did	do	vdd
,	,	y
immediately	immediately	rr
after	after	ii_cs
a	a	at1
discussion	discussion	nn1
of	of	io
contract	contract	nn1
renewal	renewal	nn1
,	,	y
the	the	at
implication	implication	nn1
was	be	vbdz
,	,	y
of	of	rr21
course	course	rr22
,	,	y
that	that	dd1_cst
"	"	y
doing	do	vdg
something	something	pn1
about	about	ii
it	it	pph1
"	"	y
was	be	vbdz
related	relate	vvn
to	to	to
contract	contract	vvi
renewal	renewal	nn1
.	.	y
I	i	ppis1
was	be	vbdz
surprised	surprised	jj
and	and	cc
angered	anger	vvn_vvd
about	about	ii
the	the	at
question	question	nn1
,	,	y
but	but	ccb
responded	respond	vvd_vvn
as	as	rg
carefully	carefully	rr
as	as	csa
I	i	ppis1
could	could	vm
,	,	y
as	as	csa
I	i	ppis1
wanted	want	vvd
the	the	at
contract	contract	nn1
to	to	to
be	be	vbi
renewed	renew	vvn@_jj
.	.	y
I	i	ppis1
also	also	rr
was	be	vbdz
surprised	surprised	jj_vvn%
that	that	cst
the	the	at
chair	chair	nn1
seemed	seem	vvd
to	to	to
be	be	vbi
unconcerned	unconcerned	jj
about	about	ii
this	this	dd1
student	student	nn1
's	's	ge
adoption	adoption	nn1
of	of	io
a	a	at1
Red	red	jj
Guard-style	guard-style	jj_nn1
informant	informant	nn1
role	role	nn1
,	,	y
a	a	at1
role	role	nn1
style	style	nn1
that	that	cst
the	the	at
political	political	jj
correctness	correctness	nn1
movement	movement	nn1
seems	seem	vvz
to	to	to
have	have	vhi
encouraged	encourage	vvn
among	among	ii
post-1984	post-1984	jj
graduates	graduate	nn2
.	.	y
<p>	<p>	y
I	i	ppis1
asked	ask	vvd
the	the	at
chair	chair	nn1
whether	whether	csw
she	she	pphs1
really	really	rr
had	have	vhd
read	read	vvn
the	the	at
book	book	nn1
,	,	y
and	and	cc
she	she	pphs1
replied	reply	vvd
that	that	cst
she	she	pphs1
had	have	vhd
.	.	y
She	she	pphs1
added	add	vvd
that	that	cst
she	she	pphs1
understood	understand	vvd
what	what	ddq
I	i	ppis1
was	be	vbdz
doing	do	vdg
in	in	ii
the	the	at
course	course	nn1
,	,	y
and	and	cc
that	that	cst
Alinsky	alinsky	np1
's	's	ge
tactics	tactic	nn2
involved	involve	vvd_vvn
throwing	throw	vvg
opponents	opponent	nn2
'	'	ge
book	book	nn1
of	of	io
rules	rule	nn2
back	back	rp
at	at	ii
them	them	ppho2
in	in	ii_rp@
a	a	at1
conflict	conflict	nn1
situation	situation	nn1
.	.	y
She	she	pphs1
made	make	vvd
it	it	pph1
clear	clear	jj
that	that	cst
she	she	pphs1
did	do	vdd
not	not	xx
seriously	seriously	rr
believe	believe	vvi
that	that	cst
Alinsky	alinsky	np1
's	's	ge
book	book	nn1
was	be	vbdz
racist	racist	jj_nn1
.	.	y
<p>	<p>	y
I	i	ppis1
retorted	retort	vvd
that	that	cst_dd1
then	then	rt
she	she	pphs1
must	must	vm
understand	understand	vvi
why	why	rrq
I	i	ppis1
found	find	vvd
it	it	pph1
hard	hard	rr_jj
to	to	to
believe	believe	vvi
that	that	cst
the	the	at
student	student	nn1
who	who	pnqs
complained	complain	vvd
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
word	word	nn1
appeared	appear	vvd_vvn@
on	on	ii
page	page	nn1
136	136	mc
in	in	ii
an	a	at1
indented	indented	jj@
quote	quote	nn1
,	,	y
I	i	ppis1
scarcely	scarcely	rr
knew	know	vvd
it	it	pph1
was	be	vbdz
there	there	rl
,	,	y
and	and	cc
how	how	rrq
could	could	vm
someone	someone	pn1
have	have	vhi
found	find	vvn
the	the	at
word	word	nn1
without	without	iw
having	have	vhg
grasped	grasp	vvn
the	the	at
book	book	nn1
's	's	ge
meaning	meaning	nn1_vvg
?	?	y
<p>	<p>	y
She	she	pphs1
answered	answer	vvd
,	,	y
"	"	y
Well	well	rr
,	,	y
maybe	maybe	rr
you	you	ppy
did	do	vdd
n't	n't	xx
assign	assign	vvi
the	the	at
part	part	nn1
of	of	io
the	the	at
book	book	nn1
that	that	cst
explained	explain	vvd
Alinsky	alinsky	np1
's	's	ge
views	view	nn2
.	.	y
"	"	y
In	in	ii
fact	fact	nn1
,	,	y
I	i	ppis1
had	have	vhd
assigned	assign	vvn
the	the	at
entire	entire	jj
book	book	nn1
,	,	y
but	but	ccb
said	say	vvd
in	in	ii
class	class	nn1
that	that	cst
the	the	at
students	student	nn2
should	should	vm
emphasize	emphasize	vvi
the	the	at
chapters	chapter	nn2
on	on	ii
ethics	ethics	nn
and	and	cc
tactics	tactic	nn2
in	in	ii
their	their	appge
reading	reading	nn1
.	.	y
Might	might	vm
not	not	xx
a	a	at1
student	student	nn1
read	read	vvi
more	more	rgr
completely	completely	rr
before	before	ii
complaining	complain	vvg
above	above	ii
my	my	appge
head	head	nn1
?	?	y
Anyway	anyway	rr
,	,	y
Alinsky	alinsky	np1
's	's	ge
point	point	nn1
of	of	io
view	view	nn1
is	be	vbz
evident	evident	jj
from	from	ii
those	those	dd2
two	two	mc
chapters	chapter	nn2
alone	alone	rr_jj
.	.	y
<p>	<p>	y
The	the	at
chair	chair	nn1
then	then	rt
added	add	vvd_vvn
,	,	y
accusingly	accusingly	rr
,	,	y
"	"	y
You	you	ppy
discussed	discuss	vvd
racial	racial	jj
issues	issue	nn2
in	in	ii
class	class	nn1
,	,	y
and	and	cc
some	some	dd
explanation	explanation	nn1
is	be	vbz
needed	need	vvn
.	.	y
"	"	y
<p>	<p>	y
I	i	ppis1
replied	reply	vvd
that	that	cst
I	i	ppis1
did	do	vdd
not	not	xx
bring	bring	vvi
up	up	rp
racial	racial	jj
issues	issue	nn2
.	.	y
Maybe	maybe	rr
I	i	ppis1
had	have	vhd
made	make	vvn
a	a	at1
mistake	mistake	nn1
in	in	ii
asking	ask	vvg
the	the	at
student	student	nn1
to	to	to
discuss	discuss	vvi
the	the	at
matter	matter	nn1
openly	openly	rr
,	,	y
but	but	ccb
that	that	dd1
seemed	seem	vvd
like	like	ii
the	the	at
right	right	jj_nn1
thing	thing	nn1
to	to	to
do	do	vdi
(	(	y
it	it	pph1
still	still	rr
does	do	vdz
)	)	y
.	.	y
The	the	at
student	student	nn1
had	have	vhd
raised	raise	vvn
the	the	at
issue	issue	nn1
,	,	y
and	and	cc
so	so	rr_cs@
the	the	at
issue	issue	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
n't	n't	xx
upset	upset	jj
with	with	iw
the	the	at
way	way	nn1
the	the	at
discussion	discussion	nn1
went	go	vvd
,	,	y
"	"	y
I	i	ppis1
said	say	vvd
.	.	y
<p>	<p>	y
The	the	at
chair	chair	nn1
rejoined	rejoin	vvd
,	,	y
shaking	shake	vvg
her	her	appge
head	head	nn1
and	and	cc
adopting	adopt	vvg
the	the	at
tone	tone	nn1
of	of	io
a	a	at1
child	child	nn1
therapist	therapist	nn1
scolding	scold	vvg
an	a	at1
inept	inept	jj
parent	parent	nn1
,	,	y
"	"	y
Well	well	rr
,	,	y
she	she	pphs1
did	do	vdd
feel	feel	vvi
uncomfortable	uncomfortable	jj
--	--	x
for	for	if
the	the	at
rest	rest	nn1
of	of	io
the	the	at
semester	semester	nn1
.	.	y
Maybe	maybe	rr
it	it	pph1
was	be	vbdz
n't	n't	xx
a	a	at1
good	good	jj
idea	idea	nn1
to	to	to
discuss	discuss	vvi
the	the	at
subject	subject	nn1
.	.	y
"	"	y
<p>	<p>	y
I	i	ppis1
repeated	repeat	vvd
that	that	cst
she	she	pphs1
had	have	vhd
come	come	vvn
to	to	ii
me	me	ppio1
with	with	iw
a	a	at1
complaint	complaint	nn1
,	,	y
and	and	cc
we	we	ppis2
discussed	discuss	vvd
it	it	pph1
in	in	ii
the	the	at
class	class	nn1
,	,	y
spending	spend	vvg_nn1
forty	forty	mc
minutes	minute	nnt2
on	on	ii
her	her	appge
point	point	nn1
.	.	y
I	i	ppis1
was	be	vbdz
n't	n't	xx
sure	sure	jj_rr%
what	what	ddq
else	else	rr
I	i	ppis1
could	could	vm
have	have	vhi
done	do	vdn
.	.	y
<p>	<p>	y
She	she	pphs1
then	then	rt
said	say	vvd
in	in	ii_rp@
an	a	at1
exasperated	exasperated	jj
tone	tone	nn1
,	,	y
"	"	y
You	you	ppy
have	have	vh0
to	to	to
understand	understand	vvi
that	that	cst
we	we	ppis2
attract	attract	vv0
so	so	rg
few	few	da2
black	black	jj
students	student	nn2
here	here	rl
in	in	ii
a	a	at1
city	city	nn1
that	that	cst_dd1
has	have	vhz
a	a	at1
large	large	jj
black	black	jj
population	population	nn1
and	and	cc
we	we	ppis2
need	need	vv0
to	to	to
worry	worry	vvi
about	about	ii_rp@
their	their	appge
concerns	concern	nn2
.	.	y
"	"	y
<p>	<p>	y
I	i	ppis1
agreed	agree	vvd
that	that	cst
the	the	at
small	small	jj
number	number	nn1
of	of	io
African	african	jj
American	american	jj
students	student	nn2
in	in	ii
the	the	at
business	business	nn1
school	school	nn1
was	be	vbdz
a	a	at1
cause	cause	nn1
for	for	if
concern	concern	nn1
.	.	y
<p>	<p>	y
The	the	at
chair	chair	nn1
again	again	rt
asked	ask	vvd
,	,	y
"	"	y
What	what	ddq
do	do	vd0
you	you	ppy
plan	plan	vvi
to	to	to
do	do	vdi
about	about	ii
the	the	at
complaint	complaint	nn1
?	?	y
Have	have	vh0
you	you	ppy
thought	think	vvn
about	about	ii
warning	warn	vvg@
the	the	at
class	class	nn1
in	in	ii
advance	advance	nn1
?	?	y
"	"	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
One	one	mc1
of	of	io
the	the	at
students	student	nn2
had	have	vhd
suggested	suggest	vvn
doing	do	vdg
that	that	dd1
.	.	y
But	but	ccb
perhaps	perhaps	rr
I	i	ppis1
'll	will	vm
just	just	rr
drop	drop	vvi
the	the	at
book	book	nn1
altogether	altogether	rr
.	.	y
I	i	ppis1
am	be	vbm
not	not	xx
interested	interested	jj
in	in	ii
a	a	at1
to-do	to-do	nn1
.	.	y
There	there	ex
are	be	vbr
plenty	plenty	pn
of	of	io
alternative	alternative	jj_nn1
books	book	nn2
that	that	cst_dd1
cover	cover	vv0_nn1
conflict	conflict	nn1
and	and	cc
distributive	distributive	jj
negotiation	negotiation	nn1
tactics	tactic	nn2
.	.	y
"	"	y
It	it	pph1
had	have	vhd
become	become	vvn@
obvious	obvious	jj
to	to	ii
me	me	ppio1
that	that	cst
no	no	ddqv31
matter	matter	ddqv32
what	what	ddqv33
I	i	ppis1
said	say	vvd
,	,	y
I	i	ppis1
stood	stand	vvd
accused	accuse	vvn_jj@
(	(	y
hence	hence	rr
convicted	convict	vvn_jj
)	)	y
of	of	io
racism	racism	nn1
.	.	y
If	if	cs
I	i	ppis1
capitulated	capitulate	vvd
and	and	cc
agreed	agree	vvd_vvn
,	,	y
then	then	rt
I	i	ppis1
would	would	vm
be	be	vbi
able	able	jk
to	to	to
make	make	vvi
amends	amends	nn2
.	.	y
If	if	cs
I	i	ppis1
continued	continue	vvd
to	to	to
argue	argue	vvi
,	,	y
then	then	rt
I	i	ppis1
would	would	vm
stand	stand	vvi
accused	accused	jj@_vvn
and	and	cc
possibly	possibly	rr
lose	lose	vvi
the	the	at
thousands	thousand	m
of	of	io
dollars	dollar	nnu2
of	of	io
salary	salary	nn1
for	for	if
two	two	mc
summer	summer	nnt1
classes	class	nn2
.	.	y
<p>	<p>	y
When	when	cs_rrq
I	i	ppis1
said	say	vvd
that	that	cst
I	i	ppis1
would	would	vm
drop	drop	vvi
the	the	at
book	book	nn1
,	,	y
the	the	at
chair	chair	nn1
nodded	nod	vvd
approvingly	approvingly	rr
and	and	cc
smiled	smile	vvd
.	.	y
"	"	y
Oh	oh	uh
,	,	y
you	you	ppy
're	be	vbr
thinking	think	vvg_nn1
of	of	io
dropping	drop	vvg
it	it	pph1
.	.	y
Good	good	jj_np1%
,	,	y
"	"	y
she	she	pphs1
concluded	conclude	vvd
,	,	y
adding	add	vvg
that	that	cst
she	she	pphs1
had	have	vhd
another	another	dd1
meeting	meeting	nn1_vvg
to	to	to
attend	attend	vvi
.	.	y
Conclusion	conclusion	nn1
<p>	<p>	y
Perhaps	perhaps	rr
the	the	at
chair	chair	nn1
was	be	vbdz
concerned	concerned	jj_vvn%
that	that	cst
I	i	ppis1
had	have	vhd
been	be	vbn
insufficiently	insufficiently	rr
responsive	responsive	jj
,	,	y
insufficiently	insufficiently	rr
therapeutic	therapeutic	jj
,	,	y
and	and	cc
not	not	xx
customer	customer	nn1
targeted	target	vvd_vvn
.	.	y
Remember	remember	vv0
,	,	y
not	not	xx
a	a	at1
single	single	jj
racist	racist	jj_nn1
word	word	nn1
was	be	vbdz
uttered	utter	vvn
by	by	ii
anyone	anyone	pn1
in	in	ii
the	the	at
class	class	nn1
.	.	y
The	the	at
sole	sole	jj
issue	issue	nn1
was	be	vbdz
a	a	at1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
other	other	jj
elaborate	elaborate	jj
ideologies	ideology	nn2
,	,	y
political	political	jj
correctness	correctness	nn1
is	be	vbz
easily	easily	rr
misinterpreted	misinterpret	vvn_vvd
and	and	cc
transmuted	transmute	vvn
,	,	y
and	and	cc
the	the	at
dictates	dictate	nn2
of	of	io
managerial	managerial	jj
expediency	expediency	nn1
make	make	vv0
misinterpretation	misinterpretation	nn1
a	a	at1
certainty	certainty	nn1
.	.	y
Administrators	administrator	nn2
'	'	ge
needs	need	nn2
for	for	if
power	power	nn1
and	and	cc
their	their	appge
overriding	overriding	jj
concerns	concern	nn2
with	with	iw
maximizing	maximize	vvg
endowments	endowment	nn2
and	and	cc
tuition	tuition	nn1
revenues	revenue	nn2
guarantee	guarantee	vv0
that	that	cst_dd1
subtle	subtle	jj
arguments	argument	nn2
about	about	ii
speech	speech	nn1
codes	code	nn2
will	will	vm
be	be	vbi
easily	easily	rr
forgotten	forget	vvn
.	.	y
<p>	<p>	y
The	the	at
chair	chair	nn1
responded	respond	vvn_vvd
to	to	ii
a	a	at1
student	student	nn1
's	's	ge
misguided	misguided	jj
complaint	complaint	nn1
by	by	ii
restricting	restrict	vvg
my	my	appge
teaching	teaching	nn1
and	and	cc
creating	create	vvg
a	a	at1
rule	rule	nn1
that	that	cst_dd1
could	could	vm
not	not	xx
have	have	vhi
possibly	possibly	rr
reflected	reflect	vvn_vvd
an	a	at1
underlying	underlying	jj
concern	concern	nn1
for	for	if
racist	racist	jj_nn1
speech	speech	nn1
.	.	y
Ultimately	ultimately	rr
,	,	y
and	and	cc
perhaps	perhaps	rr
unconsciously	unconsciously	rr
,	,	y
her	her	appge
response	response	nn1
was	be	vbdz
a	a	at1
market-driven	market-driven	jj
one	one	pn1
.	.	y
She	she	pphs1
believes	believe	vvz
that	that	cst_dd1
certain	certain	jj
target	target	nn1
markets	market	nn2
are	be	vbr
under-exploited	under-exploited	vvn_jj
;	;	y
she	she	pphs1
received	receive	vvd
a	a	at1
complaint	complaint	nn1
from	from	ii
a	a	at1
member	member	nn1
of	of	io
that	that	dd1
target	target	nn1
market	market	nn1_vv0
;	;	y
and	and	cc
she	she	pphs1
called	call	vvd@
on	on	ii
me	me	ppio1
to	to	to
help	help	vvi
resolve	resolve	vvi
the	the	at
marketing	marketing	nn1
and	and	cc
quality	quality	nn1
problem	problem	nn1
.	.	y
Sadly	sadly	rr
,	,	y
such	such	da
a	a	at1
pattern	pattern	nn1
tends	tend	vvz
to	to	to
replicate	replicate	vvi
itself	itself	ppx1
.	.	y
As	as	csa
administrators	administrator	nn2
institute	institute	nn1_vv0%
control	control	nn1_vv0
in	in	ii
the	the	at
name	name	nn1
of	of	io
political	political	jj
correctness	correctness	nn1
,	,	y
the	the	at
McDonaldization	mcdonaldization	np1
of	of	io
higher	high	jjr
education	education	nn1
proceeds	proceed	vvz_nn2
apace	apace	rr
.	.	y
Courses	course	nn2
will	will	vm
be	be	vbi
standardized	standardize	vvn_jj
and	and	cc
speech	speech	nn1
codes	code	nn2
implemented	implement	vvn_vvd@
.	.	y
The	the	at
McDonaldized	mcdonaldized	np1
institutions	institution	nn2
arising	arise	vvg
from	from	ii
the	the	at
patterns	pattern	nn2
that	that	cst_dd1
political	political	jj
correctness	correctness	nn1
has	have	vhz
instigated	instigate	vvn
will	will	vm
remain	remain	vvi
in	in	ii_rp@
place	place	nn1_vv0
long	long	rr_jj
after	after	ii_cs
the	the	at
race	race	nn1
issue	issue	nn1
has	have	vhz
been	be	vbn
forgotten	forget	vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
##4000553		
Grutter	grutter	nn1_np1_vv0
<p>	<p>	y
As	as	ii21
of	of	ii22
this	this	dd1
writing	write	vvg_nn1
the	the	at
response	response	nn1
by	by	ii
conservatives	conservative	nn2
,	,	y
classical	classical	jj
liberals	liberal	nn2
,	,	y
and	and	cc
constitutional	constitutional	jj
and	and	cc
academic	academic	jj
traditionalists	traditionalist	nn2
to	to	ii
the	the	at
revolutionary	revolutionary	jj
Grutter	grutter	nn1
v.	xx_v	ii
Bollinger	bollinger	np1
decision	decision	nn1
continues	continue	vvz
to	to	to
be	be	vbi
stunningly	stunningly	rr
weak	weak	jj
,	,	y
even	even	rr
as	as	csa_ii
the	the	at
dominant	dominant	jj
liberal	liberal	jj
culture	culture	nn1
is	be	vbz
presenting	present	vvg
the	the	at
decision	decision	nn1
's	's	ge
redefinition	redefinition	nn1
of	of	io
America	america	np1
