##5995		
20:00-21:00		mcmc
,	,	y
Tony	tony	np1
,	,	y
for	for	cs%_if
-	-	-
you	you	ppy
know	know	vv0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
jealousy	jealousy	nn1
among	among	ii
our	our	appge
television	television	nn1
competitors	competitor	nn2
because	because	cs
we	we	ppis2
're	be	vbr
just	just	rr
beating	beat	vvg
their	their	appge
brains	brain	nn2
in	in	ii
night	night	nnt1
after	after	ii_cs
night	night	nnt1
,	,	y
day	day	nnt1
after	after	ii_cs
day	day	nnt1
.	.	y
And	and	cc
they	they	pphs2
have	have	vh0
gotten	get	vvn
increasingly	increasingly	rr
strident	strident	jj
and	and	cc
hysterical	hysterical	jj
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
really	really	rr
care	care	vvi
what	what	ddq
they	they	pphs2
say	say	vv0
.	.	y
It	it	pph1
does	do	vdz
n't	n't	xx
matter	matter	vvi
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
free	free	jj
country	country	nn1
.	.	y
They	they	pphs2
can	can	vm
say	say	vvi
what	what	ddq
they	they	pphs2
want	want	vv0
.	.	y
But	but	ccb
I	i	ppis1
think	think	vv0
when	when	rrq_cs
you	you	ppy
put	put	vv0
it	it	pph1
all	all	db_rr@
in	in	ii
the	the	at
same	same	da
soup	soup	nn1
,	,	y
you	you	ppy
take	take	vv0
the	the	at
left	left	jj
wing	wing	nn1
media	media	nn
in	in	ii
the	the	at
newspaper	newspaper	nn1
industry	industry	nn1
,	,	y
which	which	ddq
is	be	vbz
about	about	rg
75	75	mc
percent	percent	nnu
and	and	cc
growing	growing	jj_vvg
,	,	y
and	and	cc
then	then	rt
you	you	ppy
take	take	vv0
in	in	ii_rp@
the	the	at
bitterness	bitterness	nn1
on	on	ii
the	the	at
television	television	nn1
side	side	nn1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
look	look	vv0_nn1
,	,	y
I	i	ppis1
'm	be	vbm
not	not	xx
here	here	rl
to	to	to
stick	stick	vvi
up	up	rp
for	for	if
Dick	dick	np1
Cheney	cheney	np1
.	.	y
I	i	ppis1
think	think	vv0
he	he	pphs1
made	make	vvd
a	a	at1
mistake	mistake	nn1
.	.	y
I	i	ppis1
think	think	vv0
he	he	pphs1
should	should	vm
have	have	vhi
gotten	get	vvn
the	the	at
thing	thing	nn1
out	out	rp
as	as	rg
soon	soon	rr
as	as	csa
possible	possible	jj
and	and	cc
said	say	vvd
details	detail	nn2
to	to	to
come	come	vvi
.	.	y
Here	here	rl
's	be	vbz
what	what	ddq
happened	happen	vvd
.	.	y
I	i	ppis1
was	be	vbdz
involved	involved	jj
with	with	iw
an	a	at1
accident	accident	nn1
.	.	y
Details	detail	nn2
to	to	to
come	come	vvi
.	.	y
I	i	ppis1
'm	be	vbm
not	not	xx
buying	buy	vvg
Cheney	cheney	np1
saying	say	vvg
well	well	rr
,	,	y
we	we	ppis2
got	get	vvd
to	to	to
get	get	vvi
it	it	pph1
accurate	accurate	jj
.	.	y
I	i	ppis1
just	just	rr
think	think	vv0
that	that	cst
they	they	pphs2
wanted	want	vvd
to	to	to
manage	manage	vvi
this	this	dd1
story	story	nn1
.	.	y
You	you	ppy
know	know	vv0
how	how	rrq
that	that	dd1
goes	go	vvz
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	to
manage	manage	vvi
it	it	pph1
.	.	y
And	and	cc
whenever	whenever	rrqv
you	you	ppy
try	try	vv0
to	to	to
manage	manage	vvi
it	it	pph1
,	,	y
particularly	particularly	rr
when	when	cs_rrq
you	you	ppy
have	have	vh0
a	a	at1
hostile	hostile	jj
media	media	nn
,	,	y
because	because	cs
they	they	pphs2
-	-	-
and	and	cc
I	i	ppis1
want	want	vv0
everybody	everybody	pn1
watching	watch	vvg
this	this	dd1
right	right	nn1_rr_jj
now	now	rt
to	to	to
understand	understand	vvi
us	us	ppio2
.	.	y
These	these	dd2
people	people	nn
hate	hate	vv0
them	them	ppho2
.	.	y
You	you	ppy
know	know	vv0
,	,	y
Marvin	marvin	np1
Kalb	kalb	np1
disagreed	disagree	vvd
last	last	md
night	night	nnt1
on	on	ii
"	"	y
The	the	at
Factor	factor	nn1
"	"	y
with	with	iw
the	the	at
word	word	nn1
hate	hate	nn1
.	.	y
I	i	ppis1
'm	be	vbm
sorry	sorry	jj
,	,	y
they	they	pphs2
hate	hate	vv0
them	them	ppho2
.	.	y
They	they	pphs2
hate	hate	vv0
Bush	bush	np1_nn1@
and	and	cc
Cheney	cheney	np1
.	.	y
Hate	hate	vv0
them	them	ppho2
.	.	y
And	and	cc
they	they	pphs2
're	be	vbr
going	go	vvgk
to	to	to
go	go	vvi
get	get	vv0
them	them	ppho2
,	,	y
no	no	ddqv31
matter	matter	ddqv32
what	what	ddqv33
they	they	pphs2
have	have	vh0
.	.	y
But	but	ccb
the	the	at
hysteria	hysteria	nn1
surrounding	surround	vvg
the	the	at
story	story	nn1
,	,	y
once	once	rr41
and	and	rr42
for	for	rr43
all	all	rr44
,	,	y
should	should	vm
illuminate	illuminate	vvi
for	for	if
all	all	db
our	our	appge
viewers	viewer	nn2
and	and	cc
listeners	listener	nn2
,	,	y
all	all	db
of	of	io
them	them	ppho2
,	,	y
that	that	cst
you	you	ppy
are	be	vbr
not	not	xx
going	go	vvgk
to	to	to
get	get	vvi
the	the	at
fair	fair	jj
story	story	nn1
from	from	ii
80	80	mc
percent	percent	nnu
of	of	io
the	the	at
media	media	nn
.	.	y
You	you	ppy
will	will	vm
get	get	vvi
it	it	pph1
from	from	ii
FOX	fox	np1_nn1
.	.	y
Hume	hume	np
did	do	vdd
a	a	at1
very	very	rg
good	good	jj
job	job	nn1
.	.	y
He	he	pphs1
was	be	vbdz
respectful	respectful	jj
,	,	y
but	but	ccb
he	he	pphs1
was	be	vbdz
firm	firm	jj_nn1
.	.	y
@!SNOW		zzq
:	:	y
Yes	yes	uh
,	,	y
I	i	ppis1_zz1%
-	-	-
Bill	bill	np1_nn1
,	,	y
I	i	ppis1
think	think	vv0
a	a	at1
lot	lot	nn1
of	of	io
times	time	nnt2
people	people	nn
-	-	-
some	some	dd
of	of	io
the	the	at
critics	critic	nn2
,	,	y
I	i	ppis1
think	think	vv0
,	,	y
wanted	want	vvd_vvn
somebody	somebody	pn1
to	to	ii
pistol	pistol	nn1
whip	whip	vv0_nn1
the	the	at
vice	vice	jj_nn1
president	president	nn1
.	.	y
You	you	ppy
and	and	cc
I	i	ppis1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
They	they	pphs2
wanted	want	vvd
to	to	to
-	-	-
not	not	xx
pistol	pistol	nn1
whip	whip	vv0
him	him	ppho1
.	.	y
They	they	pphs2
wanted	want	vvd
somebody	somebody	pn1
to	to	to
humiliate	humiliate	vvi
him	him	ppho1
.	.	y
And	and	cc
when	when	cs_rrq
you	you	ppy
interview	interview	vv0@
a	a	at1
president	president	nn1
or	or	cc
a	a	at1
vice	vice	jj_nn1
president	president	nn1
,	,	y
you	you	ppy
just	just	rr
--		zz
that	that	cst_dd1
's	be	vbz
just	just	rr
-	-	-
it	it	pph1
's	be	vbz
like	like	ii
the	the	at
protocol	protocol	nn1
.	.	y
You	you	ppy
ca	can	vm
n't	n't	xx
do	do	vdi
that	that	dd1
.	.	y
You	you	ppy
can	can	vm
be	be	vbi
firm	firm	jj
,	,	y
you	you	ppy
can	can	vm
be	be	vbi
direct	direct	jj_rr@
,	,	y
but	but	ccb
you	you	ppy
have	have	vh0
to	to	to
get	get	vvi
their	their	appge
statements	statement	nn2
on	on	ii
the	the	at
record	record	nn1
.	.	y
You	you	ppy
ca	can	vm
n't	n't	xx
be	be	vbi
saying	say	vvg
,	,	y
well	well	rr
,	,	y
you	you	ppy
're	be	vbr
a	a	at1
liar	liar	nn1
.	.	y
Hey	hey	uh
,	,	y
here	here	rl
's	be	vbz
how	how	rrq_rgq@
bad	bad	jj_rr%
it	it	pph1
is	be	vbz
,	,	y
Tony	tony	np1
.	.	y
On	on	ii
one	one	mc1
of	of	io
our	our	appge
competitors	competitor	nn2
'	'	ge
network	network	nn1
last	last	md
night	night	nnt1
,	,	y
they	they	pphs2
had	have	vhd
two	two	mc
individuals	individual	nn2
saying	say	vvg
that	that	cst
Cheney	cheney	np1
was	be	vbdz
drunk	drunk	jj_vvn@
or	or	cc
possibly	possibly	rr
drunk	drunk	jj_vvn@
.	.	y
How	how	rgq@_rrq
irresponsible	irresponsible	jj
is	be	vbz
that	that	dd1
?	?	y
Now	now	rt
,	,	y
I	i	ppis1
'll	will	vm
tell	tell	vvi
you	you	ppy
ladies	lady	nn2
and	and	cc
gentlemen	gentleman	nn2
,	,	y
if	if	cs
you	you	ppy
hear	hear	vv0
that	that	cst_dd1
,	,	y
you	you	ppy
got	get	vvd_vvn
to	to	to
click	click	vvi
that	that	dd1
off	off	rp
and	and	cc
never	never	rr
watch	watch	vv0
them	them	ppho2
again	again	rt
,	,	y
because	because	cs
there	there	rl
you	you	ppy
have	have	vh0
defamation	defamation	nn1
,	,	y
character	character	nn1
assassination	assassination	nn1
based	base	vvn
on	on	ii
nothing	nothing	pn1
.	.	y
Pure	pure	jj
,	,	y
unadulterated	unadulterated	jj
,	,	y
unbridled	unbridled	jj
hatred	hatred	nn1
.	.	y
And	and	cc
I	i	ppis1
think	think	vv0
the	the	at
folks	folk	nn2
got	get	vvd_vvn
to	to	to
send	send	vvi
a	a	at1
message	message	nn1
.	.	y
@!SNOW		zzq
:	:	y
Well	well	rr
,	,	y
I	i	ppis1
think	think	vv0
it	it	pph1
's	be	vbz
happening	happen	vvg_nn1
.	.	y
Look	look	vv0
,	,	y
you	you	ppy
see	see	vv0
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
numbers	number	nn2
go	go	vv0
up	up	rp
when	when	cs_rrq
they	they	pphs2
are	be	vbr
subjected	subject	vvn
to	to	ii
people	people	nn
who	who	pnqs
act	act	vv0
like	like	cs%_ii_vv0@
they	they	pphs2
've	have	vh0
got	get	vvn
their	their	appge
hair	hair	nn1
on	on	ii
fire	fire	nn1
.	.	y
And	and	cc
I	i	ppis1
got	get	vvd
to	to	to
tell	tell	vvi
you	you	ppy
in	in	ii
many	many	da2
ways	way	nn2
,	,	y
we	we	ppis2
ought	ought	vmk
to	to	to
be	be	vbi
sending	send	vvg
chocolates	chocolate	nn2
or	or	cc
beers	beer	nn2
or	or	cc
whatever	whatever	ddqv
is	be	vbz
appropriate	appropriate	jj
to	to	ii
a	a	at1
lot	lot	nn1
of	of	io
these	these	dd2
folks	folk	nn2
,	,	y
because	because	cs
guess	guess	vv0_nn1@
what	what	ddq
?	?	y
They	they	pphs2
're	be	vbr
sending	send	vvg
people	people	nn
our	our	appge
way	way	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
I	i	ppis1
mean	mean	vv0
,	,	y
look	look	vv0_nn1
,	,	y
it	it	pph1
's	be	vbz
all	all	db
part	part	nn1
of	of	io
the	the	at
culture	culture	nn1
war	war	nn1
.	.	y
It	it	pph1
's	be	vbz
all	all	db
part	part	nn1
of	of	io
the	the	at
war	war	nn1
that	that	cst
we	we	ppis2
're	be	vbr
in	in	rp@_ii
.	.	y
Now	now	rt
I	i	ppis1
want	want	vv0
to	to	to
ask	ask	vvi
you	you	ppy
a	a	at1
question	question	nn1
.	.	y
You	you	ppy
've	have	vh0
been	be	vbn
around	around	ii
Washington	washington	np1
for	for	if
a	a	at1
long	long	jj
time	time	nnt1
.	.	y
I	i	ppis1
do	do	vd0
not	not	xx
live	live	vvi
there	there	rl
.	.	y
Was	be	vbdz
it	it	pph1
this	this	dd1_rg%
bad	bad	jj
under	under	ii
Clinton	clinton	np1
?	?	y
@!SNOW		zzq
:	:	y
No	no	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Were	be	vbdr
they	they	pphs2
gunning	gun	vvg
for	for	if
Clinton	clinton	np1
like	like	cs%_vv0@
they	they	pphs2
're	be	vbr
gunning	gun	vvg
for	for	if
Bush	bush	np1
and	and	cc
Cheney	cheney	np1
?	?	y
@!SNOW		zzq
:	:	y
I	i	ppis1
think	think	vv0
if	if	cs_csw@
you	you	ppy
talk	talk	vv0
to	to	ii
the	the	at
Clinton	clinton	np1
people	people	nn
,	,	y
they	they	pphs2
would	would	vm
say	say	vvi
yes	yes	uh
.	.	y
But	but	ccb
you	you	ppy
also	also	rr
remember	remember	vv0
the	the	at
poll	poll	nn1
that	that	cst
they	they	pphs2
did	do	vdd
,	,	y
a	a	at1
Roper	roper	nn1@_np1
Poll	poll	nn1
,	,	y
where	where	cs_rrq
93	93	mc
percent	percent	nnu
of	of	io
the	the	at
reporters	reporter	nn2
in	in	ii
Washington	washington	np1
said	say	vvd
that	that	cst
they	they	pphs2
had	have	vhd
voted	vote	vvn
for	for	if
Bill	bill	np1
Clinton	clinton	np1
.	.	y
So	so	rr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Bill	bill	np1
Clinton	clinton	np1
.	.	y
Keep	keep	vv0
in	in	ii_rp@
mind	mind	nn1
when	when	cs_rrq
Bill	bill	np1
Clinton	clinton	np1
did	do	vdd
his	his	appge
first	first	md
interview	interview	vvi
after	after	ii_cs
Lewinsky	lewinsky	np1
,	,	y
where	where	rrq
did	do	vdd
he	he	pphs1
go	go	vvi
?	?	y
He	he	pphs1
went	go	vvd
to	to	ii
Jim	jim	np1
Lehrer	lehrer	np
.	.	y
I	i	ppis1
'll	will	vm
tell	tell	vvi
you	you	ppy
what	what	ddq
.	.	y
Brit	brit	nn1
Hume	hume	np
is	be	vbz
--		zz
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
we	we	ppis2
could	could	vm
find	find	vvi
another	another	dd1
newsman	newsman	nn1
of	of	io
similar	similar	jj
competence	competence	nn1
of	of	io
stature	stature	nn1
in	in	ii
Washington	washington	np1
,	,	y
period	period	nn1
.	.	y
And	and	cc
I	i	ppis1
think	think	vv0
most	most	dat
of	of	io
the	the	at
press	press	nn1
understands	understand	vvz
that	that	dd1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Yes	yes	uh
,	,	y
but	but	ccb
they	they	pphs2
do	do	vd0
n't	n't	xx
care	care	vvi
.	.	y
You	you	ppy
know	know	vv0
,	,	y
they	they	pphs2
do	do	vd0
n't	n't	xx
care	care	vvi
.	.	y
They	they	pphs2
're	be	vbr
going	go	vvgk
to	to	to
be	be	vbi
snarky	snarky	jj
,	,	y
The	the	at
New	new	np1
York	york	np1
Times	time	nnt2
,	,	y
CNN	cnn	np1
.	.	y
They	they	pphs2
're	be	vbr
going	go	vvgk
to	to	to
be	be	vbi
snarky	snarky	jj
.	.	y
And	and	cc
they	they	pphs2
're	be	vbr
just	just	rr
going	go	vvgk
to	to	to
mislead	mislead	vvi
the	the	at
public	public	nn1_jj
.	.	y
But	but	ccb
I	i	ppis1
also	also	rr
want	want	vv0
to	to	to
make	make	vvi
one	one	mc1
more	more	dar
thing	thing	nn1
clear	clear	jj_rr@
,	,	y
that	that	cst
Dick	dick	np1
Cheney	cheney	np1
brought	bring	vvd
a	a	at1
lot	lot	nn1
of	of	io
this	this	dd1
on	on	ii
himself	himself	ppx1
.	.	y
@!SNOW		zzq
:	:	y
Yes	yes	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Because	because	cs
he	he	pphs1
will	will	vm
not	not	xx
engage	engage	vvi
the	the	at
press	press	nn1
at	at	ii
any	any	dd
level	level	nn1_jj
.	.	y
He	he	pphs1
feels	feel	vvz
that	that	cst
he	he	pphs1
does	do	vdz
not	not	xx
have	have	vhi
an	a	at1
obligation	obligation	nn1
to	to	to
do	do	vdi
that	that	dd1
.	.	y
I	i	ppis1
feel	feel	vv0
that	that	cst_dd1
public	public	jj_nn1
servants	servant	nn2
elected	elect	vvn
and	and	cc
given	given	jj@_vvn
power	power	nn1
by	by	ii
the	the	at
people	people	nn
can	can	vm
choose	choose	vvi
their	their	appge
avenues	avenue	nn2
,	,	y
but	but	ccb
definitely	definitely	rr
should	should	vm
be	be	vbi
available	available	jj
,	,	y
you	you	ppy
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
explain	explain	vvi
what	what	ddq
happens	happen	vvz
,	,	y
why	why	rrq
they	they	pphs2
make	make	vv0
decisions	decision	nn2
.	.	y
And	and	cc
Dick	dick	np1
Cheney	cheney	np1
is	be	vbz
not	not	xx
available	available	jj
.	.	y
@!SNOW		zzq
:	:	y
Absolutely	absolutely	rr
.	.	y
No	no	uh
,	,	y
you	you	ppy
're	be	vbr
right	right	jj
,	,	y
Bill	bill	np1_nn1
.	.	y
And	and	cc
Bill	bill	np1
O'Reilly	o'reilly	np1
,	,	y
thanks	thanks	nn2
.	.	y
The	the	at
final	final	jj_nn1
note	note	nn1_vv0
here	here	rl
is	be	vbz
every	every	at1
administration	administration	nn1
learns	learn	vvz
this	this	dd1
lesson	lesson	nn1
.	.	y
I	i	ppis1
'm	be	vbm
sure	sure	jj
after	after	ii_cs
the	the	at
Cheney	cheney	np1
interview	interview	nn1
,	,	y
a	a	at1
lot	lot	nn1
of	of	io
people	people	nn
in	in	ii
the	the	at
White	white	np1
House	house	nn1
were	be	vbdr
saying	say	vvg
,	,	y
eh	eh	uh
,	,	y
that	that	dd1
was	be	vbdz
n't	n't	xx
so	so	rg_rr
bad	bad	jj
.	.	y
We	we	ppis2
'd	have	vm
like	like	vvi
you	you	ppy
to	to	to
vote	vote	vvi
in	in	ii
the	the	at
billoreilly.com	billoreilly.com	zz_nn
poll	poll	nn1
.	.	y
Here	here	rl
's	be	vbz
the	the	at
question	question	nn1
.	.	y
What	what	ddq
story	story	nn1
's	be	vbz
more	more	rgr
important	important	jj
?	?	y
Al	al	np1
Gore	gore	np1
accusing	accuse	vvg
U.S.	us	np1
of	of	io
mistreating	mistreat	vvg_jj@
Arabs	arab	nn2
on	on	ii
U.S.	us	np1
soil	soil	nn1
?	?	y
Or	or	cc
Dick	dick	np1
Cheney	cheney	np1
delaying	delay	vvg
the	the	at
accident	accident	nn1
announcement	announcement	nn1
?	?	y
Coming	come	vvg
up	up	rp
next	next	md
on	on	ii
"	"	y
The	the	at
Factor	factor	nn1
,	,	y
"	"	y
Neil	neil	np1
Entwistle	entwistle	np1
pleads	plead	vvz
not	not	xx
guilty	guilty	jj
to	to	ii
murdering	murder	vvg
his	his	appge
wife	wife	nn1
and	and	cc
baby	baby	nn1
.	.	y
And	and	cc
then	then	rt
his	his	appge
lawyer	lawyer	nn1
lashes	lash	vvz
out	out	rp
and	and	cc
says	say	vvz
his	his	appge
client	client	nn1
ca	can	vm
n't	n't	xx
get	get	vvi
a	a	at1
fair	fair	jj
trial	trial	nn1
.	.	y
That	that	dd1
report	report	nn1
,	,	y
when	when	cs_rrq
we	we	ppis2
come	come	vv0
back	back	rp
.	.	y
@(COMMERCIAL-BREAK)		zzc
@(NEWSBREAK)		zzc
##6394		
O'REILLY	o'reilly	np1
:	:	y
"	"	y
Impact	impact	nn1
"	"	y
segment	segment	nn1
tonight	tonight	rt
,	,	y
civil	civil	jj
rights	right	nn2
vs.	vs	ii
animal	animal	nn1
rights	right	nn2
.	.	y
At	at	ii
U.C.	uc	np1
Berkeley	berkeley	np1
,	,	y
the	the	at
PETA	peta	np1
people	people	nn
arrived	arrive	vvd_vvn
on	on	ii
campus	campus	nn1
,	,	y
displaying	display	vvg
images	image	nn2
comparing	compare	vvg
the	the	at
treatment	treatment	nn1
of	of	io
animals	animal	nn2
to	to	ii
slavery	slavery	nn1
.	.	y
That	that	dd1
did	do	vdd
n't	n't	xx
go	go	vvi
over	over	rp
too	too	rg
well	well	rr
with	with	iw
some	some	dd
black	black	jj
students	student	nn2
.	.	y
@(BEGIN-VIDEO-CLIP)		zzc
@!UNIDENTIFIED-FEMAL		zzq
:	:	y
What	what	ddq
they	they	pphs2
see	see	vv0
every	every	at1
day	day	nnt1
.	.	y
What	what	ddq
they	they	pphs2
hear	hear	vv0
every	every	at1
day	day	nnt1
.	.	y
Oh	oh	uh
,	,	y
black	black	jj
people	people	nn
the	the	at
root	root	nn1
.	.	y
What	what	ddq
they	they	pphs2
see	see	vv0
on	on	ii_rp@
the	the	at
news	news	nn1
.	.	y
What	what	ddq
the	the	at
bleep	bleep	nn1
is	be	vbz
that	that	dd1
?	?	y
(	(	y
INAUDIBLE	inaudible	jj
)		np1
a	a	at1
different	different	jj
image	image	nn1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
--		zz
I	i	ppis1
'm	be	vbm
not	not	xx
trying	try	vvg
to	to	to
say	say	vvi
OK	ok	rr
,	,	y
people	people	nn
should	should	vm
eat	eat	vvi
meat	meat	nn1
.	.	y
I	i	ppis1
understand	understand	vv0
you	you	ppy
.	.	y
@(END-VIDEO-CLIP)		zzc
O'REILLY	o'reilly	np1_rr
:	:	y
With	with	iw
us	us	ppio2
now	now	rt
,	,	y
Lauren	lauren	np1
Lake	lake	nnl1
,	,	y
an	a	at1
attorney	attorney	nn1
who	who	pnqs
follows	follow	vvz
civil	civil	jj
rights	right	nn2
very	very	rg
closely	closely	rr
.	.	y
A	a	at1
very	very	rg
intense	intense	jj
--		zz
images	image	nn2
of	of	io
slavery	slavery	nn1
.	.	y
It	it	pph1
's	be	vbz
like	like	ii
the	the	at
Holocaust	holocaust	np1
.	.	y
If	if	cs
you	you	ppy
use	use	vv0
images	image	nn2
of	of	io
Holocaust	holocaust	np1
,	,	y
and	and	cc
you	you	ppy
're	be	vbr
trying	try	vvg
to	to	to
make	make	vvi
a	a	at1
point	point	nn1
about	about	ii
something	something	pn1
else	else	rr
,	,	y
no	no	uh
?	?	y
@!LAUREN-LAKE-LEGAL		zzq
:	:	y
Not	not	xx
having	have	vhg
it	it	pph1
.	.	y
Totally	totally	rr
despicable	despicable	jj
.	.	y
I	i	ppis1
agree	agree	vv0
with	with	iw
those	those	dd2
students	student	nn2
who	who	pnqs
took	take	vvd
a	a	at1
stance	stance	nn1
against	against	ii
this	this	dd1
.	.	y
For	for	if
PETA	peta	np1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
equate	equate	nn1_jj
cruelty	cruelty	nn1
to	to	ii
animals	animal	nn2
to	to	ii
the	the	at
enslavement	enslavement	nn1
of	of	io
African-American	african-american	jj
people	people	nn
is	be	vbz
just	just	rr
downright	downright	rr_jj
ridiculous	ridiculous	jj
and	and	cc
just	just	rr
utterly	utterly	rr
culturally	culturally	rr
insensitive	insensitive	jj
.	.	y
I	i	ppis1
ca	can	vm
n't	n't	xx
believe	believe	vvi
they	they	pphs2
even	even	rr
thought	think	vvd_vvn
they	they	pphs2
could	could	vm
pull	pull	vvi
this	this	dd1
off	off	rp
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
here	here	rl
's	be	vbz
their	their	appge
statement	statement	nn1
.	.	y
"	"	y
We	we	ppis2
are	be	vbr
not	not	xx
equating	equate	vvg
animals	animal	nn2
with	with	iw
African-Americans	african-american	nn2
.	.	y
We	we	ppis2
are	be	vbr
comparing	compare	vvg
the	the	at
oppression	oppression	nn1
of	of	io
certain	certain	jj
groups	group	nn2
of	of	io
people	people	nn
in	in	ii
the	the	at
past	past	nn1_jj
to	to	ii
the	the	at
oppression	oppression	nn1
of	of	io
animals	animal	nn2
today	today	rt
.	.	y
Just	just	rr
as	as	csa
slavery	slavery	nn1
,	,	y
anti-Semitism	anti-semitism	nn1
,	,	y
forced	forced	jj_vvd
child	child	nn1
labor	labor	nn1
,	,	y
displacement	displacement	nn1
,	,	y
and	and	cc
genocide	genocide	nn1
of	of	io
native	native	jj
Americans	american	nn2
,	,	y
denial	denial	nn1
of	of	io
rights	right	nn2
for	for	if
women	woman	nn2
and	and	cc
other	other	jj
forms	form	nn2
of	of	io
oppression	oppression	nn1
were	be	vbdr
once	once	rr
accepted	accept	vvn_vvd_jj
,	,	y
so	so	rr
are	be	vbr
the	the	at
enslavement	enslavement	nn1
of	of	io
animals	animal	nn2
in	in	ii
laboratories	laboratory	nn2
on	on	ii
fur	fur	nn1
farms	farm	nn2
and	and	cc
factory	factory	nn1
farms	farm	nn2
.	.	y
Your	your	appge
response	response	nn1
?	?	y
@!LAKE		zzq
:	:	y
Animals	animal	nn2
are	be	vbr
not	not	xx
people	people	nn
.	.	y
I	i	ppis1
love	love	vv0
animals	animal	nn2
like	like	ii
the	the	at
next	next	md
person	person	nn1
,	,	y
but	but	ccb
they	they	pphs2
are	be	vbr
not	not	xx
people	people	nn
.	.	y
And	and	cc
you	you	ppy
have	have	vh0
to	to	to
understand	understand	vvi
the	the	at
history	history	nn1
to	to	to
really	really	rr
understand	understand	vvi
the	the	at
cultural	cultural	jj
significance	significance	nn1
.	.	y
African-Americans	african-american	nn2
were	be	vbdr
bread	bread	nn1
like	like	ii
animals	animal	nn2
.	.	y
We	we	ppis2
were	be	vbdr
traded	trade	vvn
like	like	ii
animals	animal	nn2
.	.	y
We	we	ppis2
were	be	vbdr
n't	n't	xx
even	even	rr
counted	count	vvn_vvd
as	as	ii
a	a	at1
whole	whole	jj
person	person	nn1
under	under	ii
the	the	at
law	law	nn1
.	.	y
So	so	rr
in	in	ii
any	any	dd
way	way	nn1
to	to	to
compare	compare	vvi
,	,	y
contrast	contrast	nn1_vv0@
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
you	you	ppy
do	do	vd0
n't	n't	xx
do	do	vdi
that	that	dd1
.	.	y
And	and	cc
for	for	if
an	a	at1
organization	organization	nn1
whose	whose	ddqge
main	main	jj
purpose	purpose	nn1
is	be	vbz
to	to	to
get	get	vvi
awareness	awareness	nn1
for	for	if
people	people	nn
for	for	if
